what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1451635569643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451635589413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635590848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635624005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635625441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635627032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635627594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635631640
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451635639253
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451635647182
opened,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635647478
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635647572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451635659116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635661004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635673130
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451635682774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635694412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635708042
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635719301
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451635727912
opened,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635728271
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635728317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451635744170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451635750458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635755778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635769015
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451635774805
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635776975
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1451635782560
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635783574
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635793028
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1451635799629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451635812581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635823272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635831130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635833333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635844832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635844865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635846487
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451635846987
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1451635847354
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1451635847612
opened,view,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms.views.LogCatView",1451635847997
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1451635848544
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1451635849238
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.ExpressionView",1451635849340
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451635853530
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451635853620
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451635856154
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451635865788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635867914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635871632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635877467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635888191
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635891122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635921004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635926516
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635926611
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451635928671
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451635928749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635929164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635941279
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451635950882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451635952052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1451635954439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1451635955531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635961369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635968725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635978949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635987385
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451635989539
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451635989654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635992579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451635996260
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451635999136
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636000540
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451636005719
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451636017954
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451636018047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636018469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636025666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636029028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636032489
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451636034671
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451636037689
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636037829
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636040181
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451636044961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636046440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636055227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636072343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636096418
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636100643
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636102673
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451636106857
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1451636114633
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451636127418
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636127750
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636128622
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636129447
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636130561
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636131208
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636131950
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636132584
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451636140532
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1451636144689
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1451636144914
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1451636157106
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451636160726
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451636185267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1451636195766
